CODE;OBJECT NAME ENG;OBJECT NAME ESP;OBJECT_TYPE_ENG;OBJECT_TYPE_ESP;CONSTELLATION_ENG;CONSTELLATION_ESP
NGC1084;;;Variable Star;Estrella variable;Libra;Libra
NGC1085;;;Asterism;Asterismo;Taurus;Tauro
NGC1086;;;Reflection Nebula;Nebula de reflexión;Ursa Minor;Osa Menor
NGC1087;;;Asterism;Asterismo;Canis Major;Can Mayor
NGC1088;;;Open Cluster;Cumulo abierto;Auriga;Cochero
NGC1089;;;Double Star;Estrella doble;Monoceros;Unicornio
NGC109;;;Planetary Nebula;Nebulosa planetaria;Equuleus;Caballito
NGC1090;;;Irregular Galaxy;Galaxia irregular;Phoenix;Fénix
NGC1091;;;Reflection Nebula;Nebula de reflexión;Carina;Quilla
NGC1092;;;Quasar;Quasar;Capricornus;Capricornio
NGC1093;;;Galaxy;Galaxia;Draco;Dragón
NGC1094;;;Emission Nebula;Nebula de emisión;Crux;Cruz del Sur
NGC1095;;;White Dwarf;Enana blanca;Horologium;Reloj
NGC1096;;;Galaxy Group;Grupo Galaxtico;Delphinus;Delfín
NGC1097;;;Variable Star;Estrella variable;Microscopium;Microscopio
NGC1098;;;Open Cluster;Cumulo abierto;Fornax;Horno
NGC1099;;;Supernova Remnant;Remanente de supernova;Coma Berenices;Cabellera de Berenice
NGC11;;;Supernova Remnant;Remanente de supernova;Auriga;Cochero
NGC110;;;Open Cluster;Cumulo abierto;Camelopardalis;Jirafa
NGC1100;;;HII Region;Región HIII;Monoceros;Unicornio
NGC1101;;;Planetary Nebula;Nebulosa planetaria;Microscopium;Microscopio
NGC1102;;;HII Region;Región HIII;Telescopium;Telescopio
NGC1103;;;Emission Nebula;Nebula de emisión;Canis Minor;Can Menor
NGC1104;;;Double Star;Estrella doble;Sagitta;Flecha
NGC1105;;;Dark Nebula;Nebulosa oscura;Leo;León
NGC1106;;;Emission Nebula;Nebula de emisión;Dorado;Dorado
NGC1107;;;Dark Nebula;Nebulosa oscura;Phoenix;Fénix
NGC1108;;;Quasar;Quasar;Centaurus;Centauro
NGC1109;;;Open Cluster;Cumulo abierto;Monoceros;Unicornio
NGC111;;;HII Region;Región HIII;Triangulum;Triángulo
NGC1110;;;Dark Nebula;Nebulosa oscura;Tucana;Tucán
NGC1111;;;Planetary Nebula;Nebulosa planetaria;Crater;Copa
NGC1112;;;Double Star;Estrella doble;Orion;Orión
NGC1113;;;Star;Estrella;Triangulum;Triángulo
NGC1114;;;White Dwarf;Enana blanca;Taurus;Tauro
NGC1115;;;Double Star;Estrella doble;Cepheus;Cefeo
NGC1116;;;Reflection Nebula;Nebula de reflexión;Taurus;Tauro
NGC1117;;;Galaxy Group;Grupo Galaxtico;Coma Berenices;Cabellera de Berenice
NGC1118;;;Globular Cluster;Cumulo globar;Equuleus;Caballito
NGC1119;;;Spiral Galaxy;Galaxia espiral;Canis Major;Can Mayor
NGC112;;;Irregular Galaxy;Galaxia irregular;Cygnus;Cisne
NGC1120;;;Red Giant;Gigante roja;Auriga;Cochero
NGC1121;;;White Dwarf;Enana blanca;Cepheus;Cefeo
NGC1122;;;Galaxy;Galaxia;Pyxis;Brújula
NGC1123;;;Galaxy Group;Grupo Galaxtico;Canes Venatici;Lebreles
NGC1124;;;Globular Cluster;Cumulo globar;Fornax;Horno
NGC1125;;;Globular Cluster;Cumulo globar;Hydrus;Hidra Macho
NGC1126;;;Supernova Remnant;Remanente de supernova;Crux;Cruz del Sur
NGC1127;;;Double Star;Estrella doble;Hydrus;Hidra Macho
NGC1128;;;Elliptical Galaxy;Galaxia eliptica;Lacerta;Lagarto
NGC1129;;;Spiral Galaxy;Galaxia espiral;Phoenix;Fénix
NGC113;;;Elliptical Galaxy;Galaxia eliptica;Carina;Quilla
NGC1130;;;Red Giant;Gigante roja;Ara;Altar
NGC1131;;;Emission Nebula;Nebula de emisión;Circinus;Compás
NGC1132;;;Double Star;Estrella doble;Caelum;Cincel
NGC1133;;;HII Region;Región HIII;Orion;Orión
NGC1134;;;Quasar;Quasar;Orion;Orión
NGC1135;;;Quasar;Quasar;Monoceros;Unicornio
NGC1136;;;Star;Estrella;Volans;Pez Volador
NGC1137;;;Variable Star;Estrella variable;Grus;Grulla
NGC1138;;;Emission Nebula;Nebula de emisión;Sextans;Sextante
NGC1139;;;Dark Nebula;Nebulosa oscura;Circinus;Compás
NGC114;;;Reflection Nebula;Nebula de reflexión;Lepus;Liebre
NGC1140;;;Red Giant;Gigante roja;Draco;Dragón
NGC1141;;;Galaxy Group;Grupo Galaxtico;Cepheus;Cefeo
NGC1142;;;Variable Star;Estrella variable;Hydrus;Hidra Macho
NGC1143;;;Asterism;Asterismo;Taurus;Tauro
NGC1144;;;Open Cluster;Cumulo abierto;Serpens;Serpiente
NGC1145;;;Quasar;Quasar;Puppis;Popa
NGC1146;;;Irregular Galaxy;Galaxia irregular;Taurus;Tauro
NGC1147;;;Asterism;Asterismo;Ara;Altar
NGC1148;;;Dark Nebula;Nebulosa oscura;Coma Berenices;Cabellera de Berenice
NGC1149;;;Galaxy Group;Grupo Galaxtico;Lacerta;Lagarto
NGC115;;;Double Star;Estrella doble;Corvus;Cuervo
NGC1150;;;Planetary Nebula;Nebulosa planetaria;Orion;Orión
NGC1151;;;Red Giant;Gigante roja;Cancer;Cáncer
NGC1152;;;Galaxy Group;Grupo Galaxtico;Orion;Orión
NGC1153;;;Star;Estrella;Reticulum;Retículo
NGC1154;;;Variable Star;Estrella variable;Microscopium;Microscopio
NGC1155;;;Open Cluster;Cumulo abierto;Delphinus;Delfín
NGC1156;;;Elliptical Galaxy;Galaxia eliptica;Aries;Aries
NGC1157;;;Spiral Galaxy;Galaxia espiral;Cepheus;Cefeo
NGC1158;;;Irregular Galaxy;Galaxia irregular;Leo Minor;León Menor
NGC1159;;;Red Giant;Gigante roja;Equuleus;Caballito
NGC116;;;Dark Nebula;Nebulosa oscura;Aquila;Águila
NGC1160;;;Open Cluster;Cumulo abierto;Lacerta;Lagarto
NGC1161;;;Planetary Nebula;Nebulosa planetaria;Octans;Octante
NGC1162;;;Galaxy;Galaxia;Sculptor;Escultor
NGC1163;;;Spiral Galaxy;Galaxia espiral;Coma Berenices;Cabellera de Berenice
NGC1164;;;HII Region;Región HIII;Lupus;Lobo
NGC1165;;;Globular Cluster;Cumulo globar;Gemini;Géminis
NGC1166;;;Reflection Nebula;Nebula de reflexión;Ursa Minor;Osa Menor
NGC1167;;;Galaxy Group;Grupo Galaxtico;Pavo;Pavo Real
NGC1168;;;Galaxy;Galaxia;Vela;Velas
NGC1169;;;Quasar;Quasar;Ara;Altar
NGC117;;;Spiral Galaxy;Galaxia espiral;Microscopium;Microscopio
NGC1170;;;Open Cluster;Cumulo abierto;Puppis;Popa
NGC1171;;;Globular Cluster;Cumulo globar;Lepus;Liebre
NGC1172;;;Globular Cluster;Cumulo globar;Lupus;Lobo
NGC1173;;;HII Region;Región HIII;Antlia;Antlia
NGC1174;;;Supernova Remnant;Remanente de supernova;Caelum;Cincel
NGC1175;;;Supernova Remnant;Remanente de supernova;Lyra;Lira
NGC1176;;;Spiral Galaxy;Galaxia espiral;Microscopium;Microscopio
NGC1177;;;Planetary Nebula;Nebulosa planetaria;Canis Major;Can Mayor
NGC1178;;;Elliptical Galaxy;Galaxia eliptica;Cygnus;Cisne
NGC1179;;;Globular Cluster;Cumulo globar;Cetus;Ballena
NGC118;;;Irregular Galaxy;Galaxia irregular;Circinus;Compás
NGC1180;;;Galaxy;Galaxia;Ursa Major;Osa Mayor
NGC1181;;;Galaxy Group;Grupo Galaxtico;Leo;León
NGC1182;;;Spiral Galaxy;Galaxia espiral;Indus;Indio
NGC1183;;;Emission Nebula;Nebula de emisión;Lyra;Lira
NGC1184;;;Irregular Galaxy;Galaxia irregular;Orion;Orión
NGC1185;;;Emission Nebula;Nebula de emisión;Piscis Austrinus;Pez Austral
NGC1186;;;Reflection Nebula;Nebula de reflexión;Apus;Ave del Paraíso
NGC1187;;;Galaxy Group;Grupo Galaxtico;Hydrus;Hidra Macho
NGC1188;;;Open Cluster;Cumulo abierto;Grus;Grulla
NGC1189;;;Spiral Galaxy;Galaxia espiral;Caelum;Cincel
NGC119;;;Galaxy Group;Grupo Galaxtico;Phoenix;Fénix
NGC1190;;;Quasar;Quasar;Grus;Grulla
NGC1191;;;Quasar;Quasar;Canis Minor;Can Menor
NGC1192;;;Quasar;Quasar;Auriga;Cochero
NGC1193;;;Elliptical Galaxy;Galaxia eliptica;Auriga;Cochero
NGC1194;;;Galaxy Group;Grupo Galaxtico;Orion;Orión
NGC1195;;;Open Cluster;Cumulo abierto;Reticulum;Retículo
NGC1196;;;Supernova Remnant;Remanente de supernova;Hydrus;Hidra Macho
NGC1197;;;Double Star;Estrella doble;Draco;Dragón
NGC1198;;;Spiral Galaxy;Galaxia espiral;Pisces;Piscis
NGC1199;;;Star;Estrella;Sextans;Sextante
NGC12;;;Elliptical Galaxy;Galaxia eliptica;Triangulum;Triángulo
NGC120;;;HII Region;Región HIII;Triangulum Australe;Triángulo Austral
NGC1200;;;Dark Nebula;Nebulosa oscura;Fornax;Horno
NGC1201;;;Reflection Nebula;Nebula de reflexión;Aries;Aries
NGC1202;;;Supernova Remnant;Remanente de supernova;Orion;Orión
NGC1203;;;Galaxy Group;Grupo Galaxtico;Phoenix;Fénix
NGC1204;;;Emission Nebula;Nebula de emisión;Volans;Pez Volador
NGC1205;;;Star;Estrella;Pegasus;Pegaso
NGC1206;;;Red Giant;Gigante roja;Puppis;Popa
NGC1207;;;Variable Star;Estrella variable;Vela;Velas
NGC1208;;;Asterism;Asterismo;Dorado;Dorado
NGC1209;;;Star;Estrella;Lacerta;Lagarto
NGC121;;;Variable Star;Estrella variable;Cepheus;Cefeo
NGC1210;;;Double Star;Estrella doble;Phoenix;Fénix
NGC1211;;;Red Giant;Gigante roja;Canes Venatici;Lebreles
NGC1212;;;Red Giant;Gigante roja;Hercules;Hércules
NGC1213;;;Double Star;Estrella doble;Octans;Octante
NGC1214;;;Planetary Nebula;Nebulosa planetaria;Aquila;Águila
NGC1215;;;HII Region;Región HIII;Equuleus;Caballito
NGC1216;;;Planetary Nebula;Nebulosa planetaria;Corona Australis;Corona Austral
NGC1217;;;Double Star;Estrella doble;Capricornus;Capricornio
NGC1218;;;Galaxy;Galaxia;Chamaeleon;Camaleón
NGC1219;;;Red Giant;Gigante roja;Microscopium;Microscopio
NGC122;;;Quasar;Quasar;Pisces;Piscis
NGC1220;;;Planetary Nebula;Nebulosa planetaria;Crux;Cruz del Sur
NGC1221;;;Dark Nebula;Nebulosa oscura;Camelopardalis;Jirafa
NGC1222;;;Open Cluster;Cumulo abierto;Pictor;Pintor
NGC1223;;;Galaxy;Galaxia;Lupus;Lobo
NGC1224;;;Irregular Galaxy;Galaxia irregular;Taurus;Tauro
NGC1225;;;Variable Star;Estrella variable;Draco;Dragón
NGC1226;;;Elliptical Galaxy;Galaxia eliptica;Bootes;Boyero
NGC1227;;;Spiral Galaxy;Galaxia espiral;Aquila;Águila
NGC1228;;;Galaxy;Galaxia;Dorado;Dorado
NGC1229;;;Emission Nebula;Nebula de emisión;Camelopardalis;Jirafa
NGC123;;;Open Cluster;Cumulo abierto;Circinus;Compás
NGC1230;;;Red Giant;Gigante roja;Corvus;Cuervo
NGC1231;;;Irregular Galaxy;Galaxia irregular;Piscis Austrinus;Pez Austral
NGC1232;;;Elliptical Galaxy;Galaxia eliptica;Aquarius;Acuario
NGC1233;;;Irregular Galaxy;Galaxia irregular;Corvus;Cuervo
NGC1234;;;Galaxy;Galaxia;Pisces;Piscis
NGC1235;;;Globular Cluster;Cumulo globar;Musca;Mosca
NGC1236;;;Galaxy;Galaxia;Octans;Octante
NGC1237;;;HII Region;Región HIII;Triangulum;Triángulo
NGC1238;;;Emission Nebula;Nebula de emisión;Ara;Altar
NGC1239;;;Reflection Nebula;Nebula de reflexión;Crux;Cruz del Sur
NGC124;;;Double Star;Estrella doble;Cygnus;Cisne
NGC1240;;;Dark Nebula;Nebulosa oscura;Carina;Quilla
NGC1241;;;Planetary Nebula;Nebulosa planetaria;Canis Major;Can Mayor
NGC1242;;;White Dwarf;Enana blanca;Monoceros;Unicornio
NGC1243;;;Dark Nebula;Nebulosa oscura;Lupus;Lobo
NGC1244;;;HII Region;Región HIII;Norma;Escuadra
NGC1245;;;Elliptical Galaxy;Galaxia eliptica;Ursa Major;Osa Mayor
NGC1246;;;Variable Star;Estrella variable;Sextans;Sextante
NGC1247;;;Red Giant;Gigante roja;Telescopium;Telescopio
NGC1248;;;Supernova Remnant;Remanente de supernova;Gemini;Géminis
NGC1249;;;White Dwarf;Enana blanca;Sagittarius;Sagitario
NGC125;;;White Dwarf;Enana blanca;Horologium;Reloj
NGC1250;;;Emission Nebula;Nebula de emisión;Crux;Cruz del Sur
NGC1251;;;Asterism;Asterismo;Canes Venatici;Lebreles
NGC1252;;;Globular Cluster;Cumulo globar;Horologium;Reloj
NGC1253;;;Elliptical Galaxy;Galaxia eliptica;Triangulum;Triángulo
NGC1254;;;Star;Estrella;Scorpius;Escorpión
NGC1255;;;HII Region;Región HIII;Serpens;Serpiente
NGC1256;;;Asterism;Asterismo;Pegasus;Pegaso
NGC1257;;;Open Cluster;Cumulo abierto;Lupus;Lobo
NGC1258;;;Planetary Nebula;Nebulosa planetaria;Scorpius;Escorpión
NGC1259;;;Open Cluster;Cumulo abierto;Piscis Austrinus;Pez Austral
NGC126;;;Planetary Nebula;Nebulosa planetaria;Sculptor;Escultor
NGC1260;;;Galaxy Group;Grupo Galaxtico;Sagitta;Flecha
NGC1261;;;Variable Star;Estrella variable;Serpens;Serpiente
NGC1262;;;Quasar;Quasar;Crater;Copa
NGC1263;;;Galaxy Group;Grupo Galaxtico;Microscopium;Microscopio
NGC1264;;;White Dwarf;Enana blanca;Corvus;Cuervo
NGC1265;;;White Dwarf;Enana blanca;Corona Borealis;Corona Boreal
NGC1266;;;Globular Cluster;Cumulo globar;Pavo;Pavo Real
NGC1267;;;Quasar;Quasar;Delphinus;Delfín
NGC1268;;;Red Giant;Gigante roja;Hydrus;Hidra Macho
NGC1269;;;Reflection Nebula;Nebula de reflexión;Horologium;Reloj
NGC127;;;Galaxy;Galaxia;Virgo;Virgo
NGC1270;;;White Dwarf;Enana blanca;Phoenix;Fénix
NGC1271;;;Variable Star;Estrella variable;Horologium;Reloj
NGC1272;;;Open Cluster;Cumulo abierto;Microscopium;Microscopio
NGC1273;;;Galaxy Group;Grupo Galaxtico;Vela;Velas
NGC1274;;;Galaxy Group;Grupo Galaxtico;Crater;Copa
NGC1275;;;HII Region;Región HIII;Vulpecula;Zorrilla
NGC1276;;;Double Star;Estrella doble;Ursa Major;Osa Mayor
NGC1277;;;Red Giant;Gigante roja;Vulpecula;Zorrilla
NGC1278;;;Emission Nebula;Nebula de emisión;Sculptor;Escultor
NGC1279;;;Emission Nebula;Nebula de emisión;Corona Australis;Corona Austral
NGC128;;;Variable Star;Estrella variable;Pisces;Piscis
NGC1280;;;Double Star;Estrella doble;Reticulum;Retículo
NGC1281;;;Red Giant;Gigante roja;Triangulum;Triángulo
NGC1282;;;Red Giant;Gigante roja;Microscopium;Microscopio
NGC1283;;;Open Cluster;Cumulo abierto;Cancer;Cáncer
NGC1284;;;Asterism;Asterismo;Triangulum Australe;Triángulo Austral
NGC1285;;;Asterism;Asterismo;Sagitta;Flecha
NGC1286;;;Variable Star;Estrella variable;Lyra;Lira
NGC1287;;;Asterism;Asterismo;Microscopium;Microscopio
NGC1288;;;Supernova Remnant;Remanente de supernova;Crux;Cruz del Sur
NGC1289;;;Supernova Remnant;Remanente de supernova;Leo Minor;León Menor
NGC129;;;Irregular Galaxy;Galaxia irregular;Grus;Grulla
NGC1290;;;Dark Nebula;Nebulosa oscura;Auriga;Cochero
NGC1291;;;Dark Nebula;Nebulosa oscura;Musca;Mosca
NGC1292;;;Open Cluster;Cumulo abierto;Corona Borealis;Corona Boreal
NGC1293;;;Quasar;Quasar;Canis Major;Can Mayor
NGC1294;;;Open Cluster;Cumulo abierto;Ara;Altar
NGC1295;;;Spiral Galaxy;Galaxia espiral;Canes Venatici;Lebreles
NGC1296;;;Elliptical Galaxy;Galaxia eliptica;Hydra;Hidra
NGC1297;;;Variable Star;Estrella variable;Eridanus;Erídano
NGC1298;;;Reflection Nebula;Nebula de reflexión;Fornax;Horno
NGC1299;;;Variable Star;Estrella variable;Octans;Octante
NGC13;;;Asterism;Asterismo;Indus;Indio
NGC130;;;Spiral Galaxy;Galaxia espiral;Cygnus;Cisne
NGC1300;;;Red Giant;Gigante roja;Draco;Dragón
NGC1301;;;Irregular Galaxy;Galaxia irregular;Sculptor;Escultor
NGC1302;;;Planetary Nebula;Nebulosa planetaria;Corvus;Cuervo
NGC1303;;;Planetary Nebula;Nebulosa planetaria;Vela;Velas
NGC1304;;;Elliptical Galaxy;Galaxia eliptica;Caelum;Cincel
NGC1305;;;Elliptical Galaxy;Galaxia eliptica;Hercules;Hércules
NGC1306;;;Planetary Nebula;Nebulosa planetaria;Camelopardalis;Jirafa
NGC1307;;;Star;Estrella;Norma;Escuadra
NGC1308;;;Double Star;Estrella doble;Corona Australis;Corona Austral
NGC1309;;;Star;Estrella;Monoceros;Unicornio
NGC131;;;Red Giant;Gigante roja;Aries;Aries
NGC1310;;;Emission Nebula;Nebula de emisión;Norma;Escuadra
NGC1311;;;Open Cluster;Cumulo abierto;Musca;Mosca
NGC1312;;;Irregular Galaxy;Galaxia irregular;Auriga;Cochero
NGC1313;;;Double Star;Estrella doble;Vulpecula;Zorrilla
NGC1314;;;White Dwarf;Enana blanca;Microscopium;Microscopio
NGC1315;;;Supernova Remnant;Remanente de supernova;Piscis Austrinus;Pez Austral
NGC1316;;;Asterism;Asterismo;Lupus;Lobo
NGC1317;;;Galaxy Group;Grupo Galaxtico;Sculptor;Escultor
NGC1318;;;Double Star;Estrella doble;Horologium;Reloj
NGC1319;;;Dark Nebula;Nebulosa oscura;Lyra;Lira
NGC132;;;Asterism;Asterismo;Lupus;Lobo
NGC1320;;;Open Cluster;Cumulo abierto;Caelum;Cincel
NGC1321;;;Variable Star;Estrella variable;Pictor;Pintor
NGC1322;;;Reflection Nebula;Nebula de reflexión;Leo Minor;León Menor
NGC1323;;;Asterism;Asterismo;Corona Borealis;Corona Boreal
NGC1324;;;Supernova Remnant;Remanente de supernova;Triangulum;Triángulo
NGC1325;;;Galaxy;Galaxia;Tucana;Tucán
NGC1326;;;Spiral Galaxy;Galaxia espiral;Serpens;Serpiente
NGC1327;;;Open Cluster;Cumulo abierto;Lacerta;Lagarto
NGC1328;;;Open Cluster;Cumulo abierto;Centaurus;Centauro
NGC1329;;;Open Cluster;Cumulo abierto;Indus;Indio
NGC133;;;Asterism;Asterismo;Telescopium;Telescopio
NGC1330;;;Reflection Nebula;Nebula de reflexión;Leo Minor;León Menor
NGC1331;;;Double Star;Estrella doble;Corona Australis;Corona Austral
NGC1332;;;Asterism;Asterismo;Lacerta;Lagarto
NGC1333;;;Globular Cluster;Cumulo globar;Andromeda;Andrómeda
NGC1334;;;Star;Estrella;Corvus;Cuervo
NGC1335;;;Quasar;Quasar;Crux;Cruz del Sur
NGC1336;;;Globular Cluster;Cumulo globar;Lynx;Lince
NGC1337;;;HII Region;Región HIII;Eridanus;Erídano
NGC1338;;;Dark Nebula;Nebulosa oscura;Cetus;Ballena
NGC1339;;;Irregular Galaxy;Galaxia irregular;Pegasus;Pegaso
NGC134;;;Globular Cluster;Cumulo globar;Piscis Austrinus;Pez Austral
NGC1340;;;Spiral Galaxy;Galaxia espiral;Canis Major;Can Mayor
NGC1341;;;Quasar;Quasar;Lacerta;Lagarto
NGC1342;;;Irregular Galaxy;Galaxia irregular;Horologium;Reloj
NGC1343;;;White Dwarf;Enana blanca;Virgo;Virgo
NGC1344;;;Galaxy;Galaxia;Ursa Minor;Osa Menor
NGC1345;;;Spiral Galaxy;Galaxia espiral;Hydra;Hidra
NGC1346;;;Double Star;Estrella doble;Grus;Grulla
NGC1347;;;Asterism;Asterismo;Sculptor;Escultor
NGC1348;;;Elliptical Galaxy;Galaxia eliptica;Crux;Cruz del Sur
NGC1349;;;Elliptical Galaxy;Galaxia eliptica;Canes Venatici;Lebreles
NGC135;;;Irregular Galaxy;Galaxia irregular;Eridanus;Erídano
NGC1350;;;Star;Estrella;Canis Major;Can Mayor
NGC1351;;;Dark Nebula;Nebulosa oscura;Carina;Quilla
NGC1352;;;HII Region;Región HIII;Cygnus;Cisne
NGC1353;;;Asterism;Asterismo;Piscis Austrinus;Pez Austral
NGC1354;;;HII Region;Región HIII;Sculptor;Escultor
NGC1355;;;Supernova Remnant;Remanente de supernova;Pictor;Pintor
NGC1356;;;White Dwarf;Enana blanca;Cancer;Cáncer
NGC1357;;;Planetary Nebula;Nebulosa planetaria;Corona Borealis;Corona Boreal
